,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
791,0.0,ResetScene,0,0,3,3,0.0
792,4.018,FinishCountDown,0,0,3,3,0.0
793,5.424,PurplePickedUpBall,0,1,3,3,0.0
794,5.864,BluePickedUpBall,1,1,3,3,0.0
795,7.571,PurplePickedUpBall,1,2,3,3,0.0
796,7.688,BluePickedUpBall,2,2,3,3,0.0
797,8.956,BlueDash,2,2,3,3,0.0
798,9.713,PurplePickedUpBall,2,3,3,3,0.0
799,9.903,PurplePickedUpBall,2,4,3,3,0.0
800,12.063,BluePickedUpBall,3,4,3,3,0.0
801,12.536,PurpleThrewBall,3,3,3,3,0.0
802,12.57,BlueThrewBall,2,3,3,3,0.0
803,13.852,PurplePickedUpBall,2,4,3,3,0.0
804,14.457,PurpleThrewBall,2,3,3,3,0.0
805,14.477,HitBlue,2,3,2,3,0.0
806,14.676,BlueThrewBall,1,3,2,3,0.0
807,15.846,PurpleThrewBall,1,2,2,3,0.0
808,19.669,BlueDash,1,2,2,3,0.0
809,20.869,PurpleThrewBall,1,1,2,3,0.0
810,21.082,BlueDash,1,1,2,3,0.0
811,21.729,PurpleThrewBall,1,0,2,3,0.0
812,21.788,PurplePickedUpBall,1,1,2,3,0.0
813,22.408,BlueDash,1,1,2,3,0.0
814,22.497,BluePickedUpBall,2,1,2,3,0.0
815,23.125,PurplePickedUpBall,2,2,2,3,0.0
816,23.322,BlueThrewBall,1,2,2,3,0.0
817,24.197,BlueThrewBall,0,2,2,3,0.0
818,25.255,PurpleThrewBall,0,1,2,3,0.0
819,25.364,HitBlue,0,1,1,3,0.0
820,25.365,BluePickedUpBall,1,1,1,3,0.0
821,25.575,BlueDash,1,1,1,3,0.0
822,25.619,PurpleThrewBall,1,0,1,3,0.0
823,25.751,BluePickedUpBall,2,0,1,3,0.0
824,27.236,BlueDash,2,0,1,3,0.0
825,27.803,PurplePickedUpBall,2,1,1,3,0.0
826,28.872,BlueThrewBall,1,1,1,3,0.0
827,28.92,PurplePickedUpBall,1,2,1,3,0.0
828,28.952,BlueDash,1,2,1,3,0.0
829,29.006,HitPurple,1,2,1,2,0.0
830,29.274,BlueThrewBall,0,2,1,2,0.0
831,29.354,HitPurple,0,2,1,1,0.0
832,29.733,PurplePickedUpBall,0,3,1,1,0.0
833,31.095,BlueDash,0,3,1,1,0.0
834,32.341,BlueDash,0,3,1,1,0.0
835,33.161,PurplePickedUpBall,0,4,1,1,0.0
836,35.373,BluePickedUpBall,1,4,1,1,0.0
837,35.55,PurpleThrewBall,1,3,1,1,0.0
838,35.673,HitBlue,1,3,0,1,0.0
839,35.676,GameEnd,0,3,0,1,0.0
840,37.682,WinScreenStart,0,3,0,1,0.0
