,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
309,0.0,ResetScene,0,0,3,3,0.0
310,4.028,FinishCountDown,0,0,3,3,0.0
311,4.038,PurpleDash,0,0,3,3,0.0
312,5.431,PurpleDash,0,0,3,3,0.0
313,6.229,BluePickedUpBall,1,0,3,3,0.0
314,6.271,BluePickedUpBall,2,0,3,3,0.0
315,6.561,PurpleDash,2,0,3,3,0.0
316,6.747,BluePickedUpBall,3,0,3,3,0.0
317,7.694,PurpleDash,3,0,3,3,0.0
318,7.874,BlueThrewBall,2,0,3,3,0.0
319,7.914,PurplePickedUpBall,2,1,3,3,0.0
320,7.997,HitPurple,2,1,3,2,0.0
321,8.426,BlueThrewBall,1,1,3,2,0.0
322,8.524,HitPurple,1,1,3,1,0.0
323,8.536,PurplePickedUpBall,1,2,3,1,0.0
324,8.76,PurpleDash,1,2,3,1,0.0
325,9.012,BlueThrewBall,0,2,3,1,0.0
326,9.027,PurpleThrewBall,0,1,3,1,0.0
327,9.299,PurpleThrewBall,0,0,3,1,0.0
328,9.333,HitBlue,0,0,2,1,0.0
329,10.089,PurpleDash,0,0,2,1,0.0
330,10.129,PurplePickedUpBall,0,1,2,1,0.0
331,10.561,PurpleThrewBall,0,0,2,1,0.0
332,10.659,BluePickedUpBall,1,0,2,1,0.0
333,11.075,PurplePickedUpBall,1,1,2,1,0.0
334,11.225,PurpleThrewBall,1,0,2,1,0.0
335,11.287,PurpleDash,1,0,2,1,0.0
336,11.289,HitBlue,1,0,1,1,0.0
337,11.607,BlueThrewBall,0,0,1,1,0.0
338,12.553,PurpleDash,0,0,1,1,0.0
339,13.691,PurpleDash,0,0,1,1,0.0
340,13.71,PurplePickedUpBall,0,1,1,1,0.0
341,14.688,PurpleThrewBall,0,0,1,1,0.0
342,14.695,HitBlue,0,0,0,1,0.0
343,14.698,GameEnd,0,0,0,1,0.0
344,14.774,PurpleDash,0,0,0,1,0.0
345,15.84,PurpleDash,0,0,0,1,0.0
346,16.511,PurplePickedUpBall,0,1,0,1,0.0
347,16.702,WinScreenStart,0,1,0,1,0.0
