User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Approach FSM (user),Approach RL (user),Retreat FSM (user),Retreat RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL,Number of games FSM,Number of games RL
29,0.0,33.333,5.556,40.0,6.522,32.558,6.055,5.0,3.559,6.033,0.291,0.974,9.948,8.076,58.321,76.14,21.8,26.228,8.063,7.21,35.803,45.886,38.988,41.14,41.791,34.4,19.776,30.56,10.247,7.801,58.89,43.308,43.703,45.459,15.676,17.188,19.81,29.857,16,15
29.5,0.0,6.667,14.286,19.608,14.815,18.868,6.017,5.35,3.155,6.05,0.334,0.715,12.285,11.184,74.733,71.101,26.345,18.989,6.819,9.835,38.122,33.923,33.655,38.001,44.643,34.28,12.054,46.45,8.715,2.878,61.951,64.083,32.908,36.189,16.156,15.882,23.192,20.85,17,15
30.0,7.143,37.5,26.667,41.667,18.391,23.077,4.426,6.115,5.483,11.728,0.934,1.556,8.79,7.233,76.07,90.737,23.625,18.929,8.1,7.35,41.394,41.256,47.401,46.131,43.286,52.814,28.445,23.16,7.155,6.408,53.088,56.99,30.577,25.392,16.195,18.941,30.396,55.474,14,8
30.5,14.286,25.0,22.917,41.379,18.644,18.462,4.491,6.521,8.204,16.287,0.93,2.063,8.592,9.296,69.255,83.435,19.669,18.175,9.867,6.638,36.758,37.877,41.38,51.42,37.132,27.778,30.882,31.9,11.522,15.513,45.959,53.976,26.053,27.707,17.715,21.995,26.101,70.496,14,8
