User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Approach FSM (user),Approach RL (user),Retreat FSM (user),Retreat RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL,Number of games FSM,Number of games RL,Result FSM,Result RL
25,0.0,28.571,8.696,40.0,9.091,32.432,10.423,3.58,2.307,4.766,0.185,0.936,9.39,9.589,94.864,78.101,37.892,28.525,3.171,4.495,48.133,46.751,45.755,32.448,22.047,45.926,25.197,20.741,5.121,9.808,77.569,56.559,36.703,33.919,16.58,17.347,37.333,22.847,6,6,0-7,2-5
25.25,14.286,14.286,18.182,30.769,16.0,20.0,6.632,3.673,4.438,6.433,0.486,1.084,11.121,7.907,92.639,103.414,26.32,29.124,14.728,3.055,48.948,43.259,32.195,31.731,44.307,37.037,5.693,7.407,7.027,6.965,71.775,56.293,34.815,35.275,17.72,14.368,25.295,25.947,7,7,1-6,1-6
25.5,14.286,14.286,28.0,29.63,19.444,28.571,4.003,3.951,3.21,4.275,0.536,0.825,7.849,7.178,62.234,82.173,25.735,27.238,4.706,11.937,46.765,49.882,37.794,29.417,47.552,56.69,13.287,27.817,8.284,11.132,31.029,74.467,44.706,29.086,15.244,14.953,20.871,20.6,7,7,1-6,1-6
25.75,0.0,37.5,25.0,37.5,20.513,27.273,4.138,4.732,3.392,7.224,0.621,1.187,11.329,9.218,70.805,91.125,23.982,28.936,12.144,7.166,37.687,46.267,31.75,44.678,26.42,29.818,17.284,45.818,4.41,5.877,61.737,72.924,37.042,28.036,17.637,16.302,25.614,31.688,8,8,0-8,3-5
26.0,16.667,0.0,36.0,25.0,32.143,20.0,4.372,6.055,2.774,5.797,0.689,0.71,8.72,9.543,71.97,77.249,31.617,21.906,9.281,6.233,43.345,35.953,46.048,39.928,39.662,34.731,34.599,32.934,4.539,4.562,57.471,47.651,39.266,34.417,14.675,17.536,25.584,29.233,5,4,1-5,0-5
26.25,0.0,16.667,22.222,20.0,15.789,11.111,5.13,6.078,5.021,4.893,0.796,0.661,10.137,10.459,78.167,60.409,25.631,25.861,8.616,7.384,38.284,37.483,41.709,45.43,38.889,38.951,33.333,35.955,7.354,6.159,42.61,40.0,28.298,33.444,17.671,18.929,30.492,40.186,7,6,0-7,1-5
26.5,0.0,0.0,19.231,5.263,17.241,2.703,6.41,4.605,5.444,4.375,0.603,0.705,11.664,11.635,62.989,70.325,27.584,28.206,10.96,11.928,36.815,35.471,51.232,46.009,41.026,26.101,36.182,27.987,6.399,4.753,46.524,49.596,32.917,31.48,18.041,18.573,30.848,28.834,7,6,0-7,0-6
26.75,14.286,0.0,28.571,10.0,19.512,4.444,4.767,5.15,7.298,6.75,1.016,1.02,10.075,12.199,71.438,68.775,28.981,24.842,9.625,7.627,44.137,36.66,38.782,40.519,46.667,34.405,29.565,44.373,8.33,7.718,54.918,55.592,40.952,28.128,15.743,20.291,32.399,44.302,7,6,1-6,0-6
27.0,0.0,28.571,19.231,43.333,20.0,36.111,6.665,4.087,4.245,5.683,0.419,0.901,8.783,7.45,88.325,88.44,23.379,21.075,8.276,6.101,45.156,44.71,35.927,30.802,55.519,50.568,19.805,13.636,14.912,5.29,57.323,71.8,36.194,36.135,16.116,14.564,30.789,25.065,6,6,0-7,2-5
27.25,25.0,50.0,33.333,45.455,29.73,34.091,4.692,3.72,4.054,4.848,0.651,0.928,9.037,8.314,85.888,96.84,23.039,20.031,9.194,12.203,40.043,42.441,48.669,41.711,46.844,47.956,24.252,24.523,7.455,3.799,25.204,49.885,30.99,60.13,17.22,16.535,26.727,23.464,8,8,2-6,4-4
27.5,14.286,62.5,28.0,52.941,29.167,42.857,4.854,4.607,4.35,3.979,0.653,0.787,7.938,8.584,70.675,85.569,20.596,18.216,8.414,8.199,47.283,48.954,34.049,39.897,43.363,65.32,19.027,10.438,6.091,3.877,49.299,56.707,37.379,44.563,17.786,15.998,21.903,26.816,7,8,1-6,5-3
27.75,0.0,37.5,22.581,42.857,17.5,28.302,4.057,3.325,3.611,3.598,0.566,0.826,8.579,6.68,84.058,79.113,19.442,22.135,8.798,13.101,41.555,49.55,32.561,31.6,51.331,38.56,20.913,41.645,12.255,3.09,41.005,58.819,24.509,44.623,16.127,14.901,23.078,25.082,8,8,0-8,3-5
28.0,14.286,16.667,29.63,27.273,16.327,21.429,3.812,5.903,2.637,7.665,0.5,0.611,13.466,10.639,77.617,65.942,41.593,27.066,4.83,6.431,36.873,38.787,46.35,42.694,32.584,28.975,23.596,21.201,8.001,6.024,46.165,54.09,29.794,32.316,15.86,17.215,32.788,34.326,6,5,1-6,1-5
28.25,14.286,28.571,26.923,44.118,17.073,30.612,4.219,4.388,3.666,4.263,0.508,0.776,10.426,11.367,66.925,65.959,43.011,36.213,6.286,10.361,41.191,49.914,43.962,38.761,47.668,64.14,19.171,13.12,5.914,6.609,31.927,46.368,23.573,31.463,17.019,17.214,26.837,32.939,7,7,1-6,2-5
28.5,14.286,16.667,13.043,26.087,10.714,18.75,4.689,4.353,3.804,4.161,0.471,0.585,12.653,11.752,78.806,83.713,34.558,34.594,7.743,4.389,36.018,46.415,40.752,32.03,27.094,37.5,7.882,14.062,12.832,3.39,31.858,55.889,23.54,33.942,16.855,16.771,23.16,28.69,7,6,1-6,1-5
28.75,25.0,14.286,33.333,33.333,22.222,25.0,3.801,4.134,2.286,4.241,0.407,0.76,12.468,12.395,68.967,70.516,37.631,32.233,8.744,11.989,34.155,34.996,51.233,35.966,24.453,8.386,14.964,27.254,9.043,4.917,46.637,58.076,27.354,26.92,17.157,17.589,24.457,29.242,8,7,2-6,1-6
