User,Win ratio FSM (agent),Win ratio RL (agent),Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (agent),Hit ratio RL (agent),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (agent),Precision RL (agent),Precision FSM (user),Precision RL (user),Pick-up time FSM (agent),Pick-up time RL (agent),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (agent),Throw time RL (agent),Throw time FSM (user),Throw time RL (user),Ball hold FSM (agent),Ball hold RL (agent),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (agent),Throw distance RL (agent),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (agent),Throw angle RL (agent),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (agent),Rotation change RL (agent),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (agent),Opponent observation RL (agent),Opponent observation FSM (user),Opponent observation RL (user),Retreat FSM (agent),Retreat RL (agent),Retreat FSM (user),Retreat RL (user),Approach FSM (agent),Approach RL (agent),Approach FSM (user),Approach RL (user),Aggressive movements FSM (agent),Aggressive movements RL (agent),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (agent),Defensive movements RL (agent),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (agent),Hiding RL (agent),Hiding FSM (user),Hiding RL (user),Court half favor FSM (agent),Court half favor RL (agent),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (agent),Middle court favor RL (agent),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL
1,81.818,72.727,18.182,27.273,71.429,67.5,28.571,32.5,34.884,17.532,19.048,17.333,3.992,2.556,5.557,5.243,5.256,1.633,5.721,5.369,1.211,0.597,0.786,0.728,12.711,16.415,10.447,13.755,5.675,59.318,72.371,64.874,37.562,54.604,31.911,25.859,20.78,20.562,12.957,13.879,33.353,42.472,43.291,46.44,49.712,54.376,40.292,38.39,63.455,45.604,47.58,38.549,13.535,34.929,19.835,35.147,7.113,8.126,4.46,4.063,56.19,47.484,57.651,70.078,72.011,46.592,49.308,45.643,16.136,17.327,38.942,37.534
2,92.308,76.923,7.692,23.077,86.364,66.0,13.636,34.0,47.5,20.497,9.524,20.482,3.705,2.35,5.746,4.155,9.407,2.253,2.424,4.091,2.105,0.753,0.286,0.69,10.384,16.84,11.653,15.012,6.622,60.144,57.98,61.382,36.814,56.657,29.185,26.119,15.469,12.004,9.555,7.488,34.598,44.399,38.162,43.891,44.885,47.155,40.609,38.182,73.223,55.333,45.588,31.743,11.843,25.067,25.0,27.339,6.819,7.761,7.494,5.279,48.892,70.479,62.628,58.26,71.759,48.954,37.43,40.978,15.681,18.697,27.571,32.211
3,88.235,44.444,11.765,55.556,75.385,52.381,24.615,47.619,36.842,7.971,16.0,18.519,3.938,2.224,5.39,5.327,8.005,1.827,6.847,9.186,1.737,0.639,0.919,1.269,14.453,24.66,13.552,13.455,5.6,69.423,40.783,59.737,35.66,63.793,17.812,19.472,17.812,11.393,15.992,10.072,32.974,43.142,49.264,55.101,51.392,53.002,37.975,40.005,74.281,46.564,34.411,30.026,11.333,24.485,49.159,50.642,9.085,9.058,6.82,5.732,51.293,47.977,61.245,64.878,72.794,44.144,34.237,40.453,19.914,23.223,38.379,78.698
4,96.667,78.125,3.333,21.875,78.761,69.919,21.239,30.081,58.94,30.389,24.49,40.659,3.554,2.336,5.932,5.794,7.575,1.607,8.107,8.005,1.855,0.705,0.604,0.637,10.16,13.784,8.918,9.223,7.118,49.41,65.461,83.465,29.49,48.977,22.702,23.337,14.257,19.132,8.975,8.2,32.282,48.624,37.565,32.015,41.38,45.814,42.355,42.89,70.219,41.128,55.302,44.687,11.39,35.448,15.082,15.789,6.21,7.999,7.403,3.584,56.168,51.29,53.99,55.782,77.535,47.573,40.453,43.549,15.339,15.228,24.301,22.488
5,83.333,90.0,16.667,10.0,70.504,75.862,29.496,24.138,62.821,29.139,28.873,26.168,3.28,2.497,3.964,5.672,5.146,1.808,3.356,6.613,1.394,0.618,0.576,0.687,10.834,14.368,9.48,10.471,7.505,52.737,56.594,72.886,31.171,51.416,26.387,25.512,18.905,16.99,8.257,8.632,33.898,44.132,34.271,37.977,41.494,49.558,41.954,39.279,65.605,50.069,56.825,24.595,12.876,24.178,14.763,24.434,6.382,7.175,4.679,6.747,50.134,59.674,60.687,59.401,75.029,50.642,49.158,36.72,16.989,16.559,20.747,25.767
6,100.0,86.207,0.0,13.793,90.244,72.477,9.756,27.523,66.867,24.765,12.766,20.69,3.318,2.356,6.433,4.883,5.913,1.566,4.553,4.686,1.585,0.645,0.348,0.657,10.442,15.749,9.646,11.19,5.783,52.801,71.029,81.848,28.643,53.286,18.628,17.312,16.158,15.519,11.667,9.345,30.061,47.823,42.001,35.724,41.259,45.965,34.533,42.194,66.973,48.722,38.047,46.094,13.733,33.283,27.205,20.92,9.291,6.221,8.746,7.487,44.678,49.635,72.269,58.961,77.548,46.113,34.457,39.514,15.978,17.897,20.109,28.51
7,96.296,55.0,3.704,45.0,76.923,49.412,23.077,50.588,39.604,12.923,12.973,19.196,3.453,2.878,4.369,4.083,7.071,1.719,2.831,5.0,1.813,0.561,0.446,0.974,11.849,18.886,13.954,12.907,6.197,62.489,62.45,69.264,34.788,59.781,28.156,28.919,19.355,15.219,7.202,6.544,30.514,43.154,46.399,46.357,48.83,50.354,36.893,43.327,69.461,45.855,34.366,37.105,13.453,31.241,35.465,23.202,9.063,7.968,5.566,4.713,54.875,57.985,53.736,49.094,71.772,40.919,30.595,42.282,17.413,19.413,31.646,47.963
