User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Approach FSM (user),Approach RL (user),Retreat FSM (user),Retreat RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL,Number of games FSM,Number of games RL,Result FSM,Result RL
29,0.0,0.0,0.0,40.0,-100,22.222,4.167,4.795,-1,4.341,0.403,0.955,-1,8.289,-1,54.824,2.073,29.39,6.218,10.166,17.098,40.296,15.544,39.187,0.0,50.769,0.0,21.538,0.0,6.47,100.0,32.163,8.29,39.741,15.412,13.416,8.334,43.157,0,0,0-1,0-1
29.033333333333335,0.0,0.0,0.0,25.0,0.0,33.333,4.589,4.048,0.128,5.185,0.607,1.184,25.898,5.884,0.201,103.26,3.782,27.928,11.345,0.45,19.748,46.847,22.689,40.09,85.714,0.0,3.571,0.0,65.126,0.45,84.034,5.856,87.395,18.919,12.361,13.309,11.769,14.187,1,1,0-1,0-1
29.06666666666667,0.0,0.0,25.0,40.0,50.0,25.0,9.992,5.538,0.681,3.743,0.21,0.714,20.436,10.956,1.12,47.531,15.054,25.466,12.903,9.317,49.821,45.756,22.222,51.553,64.103,35.294,7.692,25.49,9.319,2.899,40.502,57.971,61.649,63.975,12.998,18.624,17.985,42.301,1,1,0-1,0-1
29.100000000000005,0.0,0.0,25.0,0.0,50.0,0.0,4.723,4.849,1.471,3.83,0.271,0.75,9.3,8.081,5.013,108.099,8.721,24.834,17.442,9.934,22.093,42.053,37.209,24.834,0.0,37.838,0.0,2.703,0.0,4.636,55.233,71.523,38.953,52.318,13.575,16.466,12.174,22.241,1,1,0-1,0-1
29.13333333333334,0.0,0.0,0.0,40.0,0.0,66.667,10.587,5.555,0.79,4.395,0.111,1.142,11.102,10.088,96.189,130.289,8.219,35.865,7.534,3.797,30.137,55.274,18.493,30.38,0.0,7.143,0.0,0.0,0.0,0.0,0.685,21.519,15.068,39.662,22.504,21.155,8.582,14.672,1,1,0-1,0-1
29.166666666666675,0.0,100.0,0.0,60.0,0.0,30.0,16.314,8.71,0.276,14.41,0.069,1.907,16.596,9.964,22.341,73.709,30.303,22.203,6.313,4.758,47.98,43.7,51.263,50.044,44.828,46.154,6.897,15.385,3.535,19.031,19.949,63.084,61.616,33.216,13.851,20.247,30.63,102.52,1,1,0-1,1-0
29.20000000000001,0.0,100.0,0.0,60.0,0.0,60.0,10.038,3.359,5.031,6.797,0.608,1.756,9.536,5.083,30.893,107.005,16.786,19.084,5.357,0.763,43.214,78.626,34.286,20.992,31.579,0.0,31.579,0.0,1.429,3.817,8.929,67.176,11.429,80.534,16.646,19.957,18.078,18.161,1,1,0-1,1-0
29.233333333333345,0.0,0.0,0.0,40.0,0.0,50.0,4.983,4.672,2.4,3.171,0.629,0.767,11.712,3.252,7.059,97.865,18.333,28.623,16.0,3.986,26.333,36.594,26.0,40.217,68.519,25.0,22.222,10.0,0.0,0.0,41.0,63.043,33.0,28.261,24.479,20.245,17.929,16.687,1,1,0-1,0-1
29.26666666666668,0.0,0.0,0.0,0.0,0.0,0.0,15.331,6.469,13.049,7.494,0.634,1.145,16.816,5.466,76.814,67.055,27.163,25.704,2.644,4.503,24.519,37.711,42.548,39.024,28.571,42.857,14.286,21.429,6.731,4.69,82.452,65.854,58.173,40.525,16.61,19.148,28.668,43.275,1,1,0-1,0-1
29.300000000000015,0.0,0.0,0.0,25.0,0.0,20.0,5.902,5.79,2.092,10.998,0.393,1.423,5.794,9.664,107.297,45.573,22.899,27.992,4.638,17.647,30.435,25.963,66.667,62.475,23.529,1.087,29.412,10.87,3.478,10.548,48.406,62.475,60.0,21.907,11.038,17.142,27.518,44.325,1,1,0-1,0-1
29.33333333333335,0.0,100.0,0.0,60.0,0.0,75.0,4.461,3.913,2.887,3.6,0.727,0.897,5.544,6.061,80.991,108.945,38.679,35.87,5.975,11.232,28.616,78.986,65.409,20.29,8.0,62.162,40.0,8.108,3.145,5.435,64.465,26.449,47.484,84.42,10.999,10.383,24.774,17.565,1,1,0-1,1-0
29.366666666666685,0.0,0.0,0.0,0.0,-100,0.0,5.905,5.05,-1,4.435,0.491,1.122,-1,6.591,-1,55.693,16.725,15.166,8.014,4.265,27.526,37.441,19.512,12.322,60.0,50.0,4.0,16.667,54.704,0.948,21.603,18.009,38.676,89.573,15.401,14.019,15.714,13.153,1,1,0-1,0-1
29.40000000000002,0.0,0.0,0.0,25.0,0.0,25.0,5.303,3.948,1.452,0.966,0.361,0.335,7.655,8.666,72.806,24.947,15.344,41.743,12.698,3.67,21.693,42.661,43.386,24.771,69.231,11.111,15.385,0.0,3.704,0.0,2.116,66.055,17.46,96.789,17.652,16.669,13.907,13.788,1,1,0-1,0-1
29.433333333333355,0.0,100.0,25.0,75.0,20.0,75.0,4.118,5.392,2.607,3.042,0.767,0.623,6.571,8.527,36.875,92.304,23.055,24.528,6.052,3.019,48.127,56.604,34.87,39.245,12.5,53.333,41.667,0.0,1.441,5.66,100.0,40.0,31.124,34.34,19.787,17.75,22.712,19.569,1,1,0-1,1-0
