User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Retreat FSM (user),Retreat RL (user),Approach FSM (user),Approach RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL
1,20.0,0.0,23.81,14.286,19.231,10.714,4.388,6.174,4.406,4.256,0.733,0.463,10.546,14.319,75.354,71.214,27.376,27.435,10.34,14.363,43.624,42.34,33.826,38.759,45.896,31.552,26.493,36.896,3.939,4.58,64.796,76.145,57.361,40.924,17.491,16.581,26.142,35.717
1.5,16.667,50.0,33.333,52.632,18.919,21.277,6.55,4.661,6.645,6.032,0.859,1.015,10.378,13.419,70.275,61.098,34.816,24.503,14.633,13.473,43.046,49.843,44.434,38.08,48.359,44.376,16.408,33.742,4.793,3.63,46.925,64.991,44.15,49.599,15.268,17.952,52.403,44.35
