User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Retreat FSM (user),Retreat RL (user),Approach FSM (user),Approach RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL
1,0.0,0.0,5.556,14.286,6.522,14.815,6.055,6.017,3.559,3.155,0.291,0.334,9.948,12.285,58.321,74.733,21.8,26.345,8.063,6.819,38.988,33.655,35.803,38.122,41.791,44.643,19.776,12.054,10.247,8.715,58.89,61.951,43.703,32.908,15.676,16.156,19.81,23.192
1.5,33.333,6.667,40.0,19.608,32.558,18.868,5.0,5.35,6.033,6.05,0.974,0.715,8.076,11.184,76.14,71.101,26.228,18.989,7.21,9.835,41.14,38.001,45.886,33.923,34.4,34.28,30.56,46.45,7.801,2.878,43.308,64.083,45.459,36.189,17.188,15.882,29.857,20.85
2.0,7.143,14.286,26.667,22.917,18.391,18.644,4.426,4.491,5.483,8.204,0.934,0.93,8.79,8.592,76.07,69.255,23.625,19.669,8.1,9.867,47.401,41.38,41.394,36.758,43.286,37.132,28.445,30.882,7.155,11.522,53.088,45.959,30.577,26.053,16.195,17.715,30.396,26.101
2.5,37.5,25.0,41.667,41.379,23.077,18.462,6.115,6.521,11.728,16.287,1.556,2.063,7.233,9.296,90.737,83.435,18.929,18.175,7.35,6.638,46.131,51.42,41.256,37.877,52.814,27.778,23.16,31.9,6.408,15.513,56.99,53.976,25.392,27.707,18.941,21.995,55.474,70.496
