1,22.222,4.795,4.341,0.955,8.289,54.824,29.39,10.166,40.296,39.187,50.769,21.538,6.47,32.163,39.741,13.416,43.157,0
2,33.333,4.048,5.185,1.184,5.884,103.26,27.928,0.45,46.847,40.09,0.0,0.0,0.45,5.856,18.919,13.309,14.187,0
3,25.0,5.538,3.743,0.714,10.956,47.531,25.466,9.317,45.756,51.553,35.294,25.49,2.899,57.971,63.975,18.624,42.301,0
4,0.0,4.849,3.83,0.75,8.081,108.099,24.834,9.934,42.053,24.834,37.838,2.703,4.636,71.523,52.318,16.466,22.241,0
5,66.667,5.555,4.395,1.142,10.088,130.289,35.865,3.797,55.274,30.38,7.143,0.0,0.0,21.519,39.662,21.155,14.672,0
6,30.0,8.71,14.41,1.907,9.964,73.709,22.203,4.758,43.7,50.044,46.154,15.385,19.031,63.084,33.216,20.247,102.52,1
7,60.0,3.359,6.797,1.756,5.083,107.005,19.084,0.763,78.626,20.992,0.0,0.0,3.817,67.176,80.534,19.957,18.161,1
8,50.0,4.672,3.171,0.767,3.252,97.865,28.623,3.986,36.594,40.217,25.0,10.0,0.0,63.043,28.261,20.245,16.687,0
9,0.0,6.469,7.494,1.145,5.466,67.055,25.704,4.503,37.711,39.024,42.857,21.429,4.69,65.854,40.525,19.148,43.275,0
10,20.0,5.79,10.998,1.423,9.664,45.573,27.992,17.647,25.963,62.475,1.087,10.87,10.548,62.475,21.907,17.142,44.325,0
11,75.0,3.913,3.6,0.897,6.061,108.945,35.87,11.232,78.986,20.29,62.162,8.108,5.435,26.449,84.42,10.383,17.565,1
12,0.0,5.05,4.435,1.122,6.591,55.693,15.166,4.265,37.441,12.322,50.0,16.667,0.948,18.009,89.573,14.019,13.153,0
13,25.0,3.948,0.966,0.335,8.666,24.947,41.743,3.67,42.661,24.771,11.111,0.0,0.0,66.055,96.789,16.669,13.788,0
14,75.0,5.392,3.042,0.623,8.527,92.304,24.528,3.019,56.604,39.245,53.333,0.0,5.66,40.0,34.34,17.75,19.569,1
15,37.5,4.172,8.061,1.806,9.559,72.458,18.75,11.538,45.433,54.087,22.603,5.479,16.587,43.75,36.538,14.736,35.553,1
16,33.333,4.643,1.144,0.269,7.262,99.343,25.74,5.03,48.521,39.349,46.154,3.846,2.071,42.012,24.852,10.162,25.859,0
17,60.0,4.528,9.428,2.004,12.122,39.355,19.624,55.376,25.269,74.194,13.397,2.871,2.957,94.086,33.871,17.094,25.163,1
18,50.0,7.055,2.976,0.64,12.099,95.044,8.812,5.364,26.437,10.728,16.667,0.0,0.766,28.736,12.261,8.371,12.11,0
19,0.0,18.977,2.69,0.164,15.317,1.958,19.679,14.458,44.177,50.602,51.351,10.811,0.0,18.072,38.153,18.831,16.982,0
20,0.0,6.746,1.925,0.343,3.731,54.202,16.216,1.622,27.027,24.865,25.0,0.0,0.0,96.757,23.243,16.88,11.5,0
21,16.667,6.579,11.279,1.888,14.382,28.715,21.882,12.235,41.882,36.471,41.429,30.0,0.0,68.941,66.353,18.271,37.476,0
22,0.0,5.09,8.426,1.851,11.173,101.82,20.818,0.743,37.361,40.892,0.0,0.0,3.903,89.219,42.379,19.304,43.809,0
23,0.0,12.113,0.641,0.064,4.59,145.939,16.77,11.801,24.845,22.36,35.0,45.0,1.242,38.509,28.571,17.836,10.107,0
