User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Approach FSM (user),Approach RL (user),Retreat FSM (user),Retreat RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL,Number of games FSM,Number of games RL,Result FSM,Result RL
32,20.0,40.0,27.778,45.0,27.778,25.714,4.814,6.233,5.865,11.044,0.882,1.354,11.699,10.867,81.592,71.306,15.572,17.262,5.776,6.027,42.412,46.245,48.528,45.912,49.18,32.53,14.754,32.932,3.001,6.118,76.954,54.028,21.404,27.559,14.575,18.394,24.491,50.287,4,4,1-4,2-3
32.25,0.0,20.0,14.286,33.333,9.375,19.444,6.13,5.521,8.94,7.693,1.092,1.263,12.575,15.737,89.79,80.046,16.325,17.449,12.192,6.21,43.904,40.061,39.562,39.453,51.756,28.629,22.014,39.919,8.024,6.142,52.31,48.971,26.954,32.298,18.053,17.899,38.491,49.288,6,5,0-6,1-4
32.5,16.667,0.0,25.0,6.25,13.043,5.882,5.067,5.64,8.56,4.157,1.375,0.495,12.903,11.878,84.816,82.388,18.779,10.462,7.145,6.873,46.473,34.55,37.252,33.333,40.468,39.31,28.763,26.897,8.824,4.197,44.947,32.482,17.893,22.445,18.648,14.156,45.183,23.291,6,5,1-5,0-5
32.75,16.667,60.0,22.727,54.545,17.857,30.0,5.576,5.46,11.782,8.938,1.366,1.488,10.569,11.21,94.124,114.464,19.514,21.397,7.827,5.005,36.133,46.658,41.708,45.113,54.694,38.83,17.143,29.255,10.329,10.212,64.51,55.358,22.337,27.276,18.024,18.777,34.981,48.738,6,5,1-5,3-2
33.0,0.0,16.667,8.696,26.087,9.524,28.571,8.046,4.277,6.476,4.794,0.572,0.723,10.215,6.31,103.423,102.158,17.683,26.781,7.182,10.036,31.673,45.903,49.763,28.207,58.984,53.226,18.359,9.677,12.229,5.285,64.871,79.751,22.425,27.375,18.521,16.007,30.066,21.198,6,5,0-7,1-5
33.25,0.0,14.286,4.545,25.926,4.762,18.919,7.869,5.346,9.137,7.611,0.73,0.995,9.612,7.946,76.92,81.472,21.246,26.862,2.089,3.74,32.649,40.846,43.626,33.431,23.469,28.302,28.571,19.497,6.126,7.057,64.837,46.341,21.778,43.48,18.644,17.596,30.066,34.079,7,7,0-7,1-6
33.5,0.0,14.286,4.545,35.484,9.091,35.484,8.57,5.022,7.962,4.811,0.432,0.616,7.562,7.191,79.968,102.239,24.691,28.194,3.283,2.326,30.067,46.451,45.956,34.779,24.752,27.632,42.574,23.684,6.993,6.349,50.285,60.41,21.361,26.38,16.793,18.07,21.75,24.823,7,7,0-7,1-6
33.75,0.0,28.571,8.696,41.379,10.526,26.667,6.744,4.692,9.441,6.812,0.89,1.053,7.89,8.236,81.938,76.428,27.803,25.09,2.632,14.006,39.245,47.41,42.982,36.928,26.136,20.6,18.182,6.2,10.107,4.157,53.28,61.988,20.824,35.904,18.656,16.468,28.618,36.582,7,7,0-7,2-5
34.0,0.0,0.0,8.696,12.5,10.0,20.0,8.165,7.667,8.647,3.882,0.482,0.192,12.042,12.491,58.854,41.141,20.323,19.097,7.544,11.994,39.954,30.95,43.38,33.302,51.899,25.197,26.16,4.987,4.119,3.434,61.624,53.904,22.479,35.748,18.867,15.512,28.948,19.283,6,6,0-7,0-7
34.25,12.5,12.5,25.806,20.69,27.586,21.429,6.808,5.682,2.58,3.123,0.33,0.356,10.272,10.062,58.014,80.632,17.605,19.467,10.823,9.244,36.075,36.533,36.869,36.444,31.454,54.31,13.056,19.828,3.86,3.378,58.225,44.222,40.368,46.133,17.563,15.551,25.279,19.639,8,8,1-7,1-7
34.5,0.0,14.286,16.0,23.077,19.048,20.0,6.628,7.614,3.37,4.664,0.313,0.43,11.069,12.943,57.492,95.381,16.271,22.54,16.362,5.355,31.261,40.068,37.112,42.248,19.845,33.628,22.68,34.513,4.068,4.701,32.998,51.463,27.194,39.57,16.679,18.341,20.547,35.61,7,7,0-7,1-6
34.75,0.0,12.5,11.111,14.815,12.0,17.391,7.013,6.277,4.569,4.343,0.41,0.428,7.356,7.288,83.253,86.987,20.623,23.107,4.975,13.717,36.005,35.006,38.055,35.742,50.318,30.172,21.656,21.839,10.179,3.072,57.235,41.757,24.345,32.107,16.876,13.467,23.419,20.149,8,8,0-8,1-7
