User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (user),Precision RL (user),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (user),Throw time RL (user),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (user),Opponent observation RL (user),Approach FSM (user),Approach RL (user),Retreat FSM (user),Retreat RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL,Number of games FSM,Number of games RL
21,6.667,25.0,21.667,28.125,25.49,40.0,6.171,4.961,6.431,7.568,0.56,0.724,9.081,8.608,61.836,91.165,25.766,25.394,7.579,8.037,45.251,47.317,37.107,28.277,53.673,41.964,16.531,9.598,5.116,3.303,55.915,57.9,39.233,39.449,15.958,15.397,23.714,19.263,15,16
21.5,0.0,18.75,20.755,32.203,23.404,41.304,5.696,6.641,9.138,6.799,0.666,0.574,8.741,9.824,69.395,75.932,19.596,21.625,10.389,8.335,39.421,39.188,38.01,35.125,55.132,46.691,13.411,20.751,9.722,3.817,47.96,54.019,41.689,46.962,14.712,15.087,25.898,26.429,15,16
22.0,22.222,0.0,33.333,20.0,36.765,21.429,3.744,5.641,3.243,5.129,0.59,0.65,8.883,9.867,45.596,71.617,22.808,27.567,9.959,9.767,41.183,36.977,32.923,37.335,55.788,28.533,17.524,18.439,5.39,7.102,64.304,53.757,56.532,39.374,16.45,16.016,19.671,21.976,18,15
22.5,11.111,20.0,25.0,28.571,21.622,31.373,4.19,5.705,3.459,8.242,0.579,0.745,10.029,11.135,66.701,74.279,29.826,23.382,6.622,7.454,42.675,41.665,35.566,38.624,57.582,18.458,11.209,33.671,3.995,6.379,57.213,34.749,42.075,33.97,17.507,17.123,22.065,26.954,18,15
23.0,0.0,21.429,13.636,32.203,18.0,25.676,6.573,4.837,5.138,4.615,0.354,0.679,9.48,10.009,67.722,78.913,20.256,17.788,12.824,11.717,32.561,45.157,44.533,33.885,40.336,44.444,29.532,14.77,5.782,8.244,76.927,60.15,35.119,43.305,16.653,17.91,20.598,29.812,18,14
23.5,0.0,6.667,5.263,22.0,6.818,15.493,6.286,4.935,3.889,4.761,0.35,0.643,9.836,12.421,74.787,84.907,16.956,16.779,10.478,6.785,36.559,38.978,39.379,37.709,35.276,46.135,24.233,31.401,11.793,6.669,67.48,57.678,33.778,35.422,15.284,17.884,19.446,27.351,19,15
24.0,0.0,50.0,22.222,53.191,13.793,23.148,4.626,4.274,2.774,6.316,0.407,1.172,13.472,11.809,56.919,71.537,27.189,31.781,7.229,5.814,34.005,48.464,45.495,44.79,36.292,40.046,32.347,25.172,6.366,5.141,51.016,52.795,30.714,48.068,17.031,19.098,31.295,45.682,13,10
24.5,7.143,40.0,24.0,47.368,12.245,15.517,4.137,3.903,2.882,3.775,0.495,0.785,14.382,13.93,67.36,67.147,29.132,26.054,7.174,7.274,39.811,38.165,47.294,47.927,32.591,34.653,37.045,21.617,4.758,4.285,56.484,54.613,30.476,36.489,17.799,19.729,32.62,53.117,14,10
