,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
212,0.0,ResetScene,0,0,3,3,0.0
213,4.024,FinishCountDown,0,0,3,3,0.0
214,5.514,PurplePickedUpBall,0,1,3,3,0.0
215,5.871,PurpleThrewBall,0,0,3,3,0.0
216,6.767,PurplePickedUpBall,0,1,3,3,0.0
217,6.954,PurplePickedUpBall,0,2,3,3,0.0
218,7.621,BlueDash,0,2,3,3,0.0
219,8.262,PurplePickedUpBall,0,3,3,3,0.0
220,8.98,BlueDash,0,3,3,3,0.0
221,10.105,BlueDash,0,3,3,3,0.0
222,10.29,PurplePickedUpBall,0,4,3,3,0.0
223,12.737,BlueDash,0,4,3,3,0.0
224,12.739,BluePickedUpBall,1,4,3,3,0.0
225,14.117,PurpleThrewBall,1,3,3,3,0.0
226,14.56,BlueDash,1,3,3,3,0.0
227,15.011,BluePickedUpBall,2,3,3,3,0.0
228,15.406,PurpleThrewBall,2,2,3,3,0.0
229,15.739,BlueDash,2,2,3,3,0.0
230,16.097,PurplePickedUpBall,2,3,3,3,0.0
231,16.116,PurpleThrewBall,2,2,3,3,0.0
232,16.805,PurpleThrewBall,2,1,3,3,0.0
233,17.003,BlueDash,2,1,3,3,0.0
234,18.957,BlueThrewBall,1,1,3,3,0.0
235,19.38,PurplePickedUpBall,1,2,3,3,0.0
236,19.555,BlueThrewBall,0,2,3,3,0.0
237,19.827,PurpleThrewBall,0,1,3,3,0.0
238,19.993,HitBlue,0,1,2,3,0.0
239,20.095,BlueDash,0,1,2,3,0.0
240,21.134,BlueDash,0,1,2,3,0.0
241,22.197,BlueDash,0,1,2,3,0.0
242,22.774,PurpleThrewBall,0,0,2,3,0.0
243,23.227,BlueDash,0,0,2,3,0.0
244,24.664,PurplePickedUpBall,0,1,2,3,0.0
245,27.804,BluePickedUpBall,1,1,2,3,0.0
246,29.383,BluePickedUpBall,2,1,2,3,0.0
247,30.677,PurplePickedUpBall,2,2,2,3,0.0
248,31.395,BlueDash,2,2,2,3,0.0
249,31.509,PurplePickedUpBall,2,3,2,3,0.0
250,33.226,PurpleThrewBall,2,2,2,3,0.0
251,33.8,BlueDash,2,2,2,3,0.0
252,35.299,BlueDash,2,2,2,3,0.0
253,41.59,PurplePickedUpBall,2,3,2,3,0.0
254,45.659,BlueThrewBall,1,3,2,3,0.0
255,46.014,HitPurple,1,3,2,2,0.0
256,47.032,PurplePickedUpBall,1,4,2,2,0.0
257,49.182,PurpleThrewBall,1,3,2,2,0.0
258,51.81,BlueThrewBall,0,3,2,2,0.0
259,52.863,BlueDash,0,3,2,2,0.0
260,53.411,PurpleThrewBall,0,2,2,2,0.0
261,53.885,BlueDash,0,2,2,2,0.0
262,55.194,BlueDash,0,2,2,2,0.0
263,56.28,BluePickedUpBall,1,2,2,2,0.0
264,57.357,PurpleThrewBall,1,1,2,2,0.0
265,57.819,PurpleThrewBall,1,0,2,2,0.0
266,57.851,BlueThrewBall,0,0,2,2,0.0
267,58.255,BlueDash,0,0,2,2,0.0
268,58.422,BluePickedUpBall,1,0,2,2,0.0
269,59.569,PurplePickedUpBall,1,1,2,2,0.0
270,59.846,BlueDash,1,1,2,2,0.0
271,60.551,PurplePickedUpBall,1,2,2,2,0.0
272,60.884,BlueDash,1,2,2,2,0.0
273,61.796,BluePickedUpBall,2,2,2,2,0.0
274,61.968,BlueDash,2,2,2,2,0.0
275,63.086,BlueDash,2,2,2,2,0.0
276,64.763,PurpleThrewBall,2,1,2,2,0.0
