,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
64,0.0,ResetScene,0,0,3,3,0.0
65,4.029,FinishCountDown,0,0,3,3,0.0
66,4.451,BlueDash,0,0,3,3,0.0
67,5.649,PurplePickedUpBall,0,1,3,3,0.0
68,5.75,PurplePickedUpBall,0,2,3,3,0.0
69,5.783,BlueDash,0,2,3,3,0.0
70,5.785,BluePickedUpBall,1,2,3,3,0.0
71,7.248,BlueDash,1,2,3,3,0.0
72,7.329,PurplePickedUpBall,1,3,3,3,0.0
73,7.529,PurplePickedUpBall,1,4,3,3,0.0
74,8.284,BlueDash,1,4,3,3,0.0
75,9.951,BlueThrewBall,0,4,3,3,0.0
76,11.737,PurpleThrewBall,0,3,3,3,0.0
77,11.769,HitBlue,0,3,2,3,0.0
78,12.199,PurpleThrewBall,0,2,2,3,0.0
79,12.285,HitBlue,0,2,1,3,0.0
80,12.792,PurpleThrewBall,0,1,1,3,0.0
81,12.884,HitBlue,0,1,0,3,0.0
82,12.889,GameEnd,0,1,0,3,0.0
83,14.749,PurplePickedUpBall,0,2,0,3,0.0
84,14.887,WinScreenStart,0,2,0,3,0.0
