,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
618,0.0,ResetScene,0,0,3,3,0.0
619,4.025,FinishCountDown,0,0,3,3,0.0
620,5.387,PurplePickedUpBall,0,1,3,3,0.0
621,6.222,BluePickedUpBall,1,1,3,3,0.0
622,6.317,BluePickedUpBall,2,1,3,3,0.0
623,6.605,PurplePickedUpBall,2,2,3,3,0.0
624,6.644,BluePickedUpBall,3,2,3,3,0.0
625,6.693,PurpleThrewBall,3,1,3,3,0.0
626,7.126,PurplePickedUpBall,3,2,3,3,0.0
627,7.733,BlueDash,3,2,3,3,0.0
628,7.964,PurpleThrewBall,3,1,3,3,0.0
629,8.593,PurpleThrewBall,3,0,3,3,0.0
630,8.659,HitBlue,3,0,2,3,0.0
631,8.684,BluePickedUpBall,4,0,2,3,0.0
632,9.22,BlueThrewBall,3,0,2,3,0.0
633,10.108,PurplePickedUpBall,3,1,2,3,0.0
634,10.693,PurplePickedUpBall,3,2,2,3,0.0
635,12.307,PurplePickedUpBall,3,3,2,3,0.0
636,12.346,BlueDash,3,3,2,3,0.0
637,13.042,PurpleThrewBall,3,2,2,3,0.0
638,13.183,HitBlue,3,2,1,3,0.0
639,13.683,BlueThrewBall,2,2,1,3,0.0
640,13.986,PurpleThrewBall,2,1,1,3,0.0
641,14.148,HitBlue,2,1,0,3,0.0
642,14.153,GameEnd,0,1,0,3,0.0
643,16.136,PurplePickedUpBall,0,2,0,3,0.0
644,16.151,WinScreenStart,0,2,0,3,0.0
