User,Win ratio FSM (agent),Win ratio RL (agent),Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (agent),Hit ratio RL (agent),Hit ratio FSM (user),Hit ratio RL (user),Precision FSM (agent),Precision RL (agent),Precision FSM (user),Precision RL (user),Pick-up time FSM (agent),Pick-up time RL (agent),Pick-up time FSM (user),Pick-up time RL (user),Throw time FSM (agent),Throw time RL (agent),Throw time FSM (user),Throw time RL (user),Ball hold FSM (agent),Ball hold RL (agent),Ball hold FSM (user),Ball hold RL (user),Throw distance FSM (agent),Throw distance RL (agent),Throw distance FSM (user),Throw distance RL (user),Throw angle FSM (agent),Throw angle RL (agent),Throw angle FSM (user),Throw angle RL (user),Rotation change FSM (agent),Rotation change RL (agent),Rotation change FSM (user),Rotation change RL (user),Opponent observation FSM (agent),Opponent observation RL (agent),Opponent observation FSM (user),Opponent observation RL (user),Approach FSM (agent),Approach RL (agent),Approach FSM (user),Approach RL (user),Retreat FSM (agent),Retreat RL (agent),Retreat FSM (user),Retreat RL (user),Aggressive movements FSM (agent),Aggressive movements RL (agent),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (agent),Defensive movements RL (agent),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (agent),Hiding RL (agent),Hiding FSM (user),Hiding RL (user),Court half favor FSM (agent),Court half favor RL (agent),Court half favor FSM (user),Court half favor RL (user),Middle court favor FSM (agent),Middle court favor RL (agent),Middle court favor FSM (user),Middle court favor RL (user),Agent distance FSM,Agent distance RL,Game duration FSM,Game duration RL,Number of games FSM,Number of games RL
29,100.0,80.0,0.0,20.0,90.0,68.595,10.0,31.405,59.639,25.857,11.0,27.338,3.325,2.36,6.035,5.131,5.203,1.517,3.341,6.04,1.496,0.557,0.308,0.857,11.013,14.37,11.21,9.261,5.699,47.65,67.184,74.219,31.828,51.495,24.201,23.196,15.187,19.577,7.406,8.313,41.131,45.42,37.038,40.859,29.767,47.581,36.171,39.831,67.678,41.92,43.191,34.436,14.226,41.616,16.26,37.746,5.807,6.142,9.438,5.732,53.852,61.112,60.507,52.038,76.772,48.419,38.001,41.564,15.929,16.64,22.183,25.371,33,30
30,89.286,68.75,10.714,31.25,75.0,58.462,25.0,41.538,48.214,11.728,18.493,20.769,3.664,2.876,4.453,6.32,7.209,2.024,6.583,14.008,1.682,0.635,0.921,1.783,11.245,21.794,8.71,8.264,5.747,70.192,73.316,87.086,34.335,60.612,21.894,18.545,16.081,12.535,8.877,6.987,46.965,51.326,39.355,39.542,32.643,44.457,44.763,48.828,71.324,47.852,40.811,39.216,11.538,35.903,29.64,27.941,8.763,10.716,9.075,11.051,55.001,51.254,53.507,51.398,72.339,41.959,28.588,26.573,16.864,20.498,29.001,62.16,28,16
