,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
396,0.0,ResetScene,0,0,3,3,0.0
397,4.019,FinishCountDown,0,0,3,3,0.0
398,4.779,PurplePickedUpBall,0,1,3,3,0.0
399,5.496,BluePickedUpBall,1,1,3,3,0.0
400,6.184,PurplePickedUpBall,1,2,3,3,0.0
401,6.351,BluePickedUpBall,2,2,3,3,0.0
402,6.458,BluePickedUpBall,3,2,3,3,0.0
403,6.538,PurplePickedUpBall,3,3,3,3,0.0
404,7.536,BlueThrewBall,2,3,3,3,0.0
405,9.41,PurplePickedUpBall,2,4,3,3,0.0
406,11.509,BlueDash,2,4,3,3,0.0
407,12.69,BlueDash,2,4,3,3,0.0
408,13.888,BluePickedUpBall,3,4,3,3,0.0
409,16.836,BluePickedUpBall,4,4,3,3,0.0
410,18.496,BlueThrewBall,3,4,3,3,0.0
411,18.52,PurpleThrewBall,3,3,3,3,0.0
412,18.88,BluePickedUpBall,4,3,3,3,0.0
413,18.97,BlueThrewBall,3,3,3,3,0.0
414,20.347,BlueDash,3,3,3,3,0.0
415,21.39,BlueDash,3,3,3,3,0.0
416,23.39,BlueThrewBall,2,3,3,3,0.0
417,23.602,BlueDash,2,3,3,3,0.0
418,26.294,BlueThrewBall,1,3,3,3,0.0
419,27.578,BlueDash,1,3,3,3,0.0
420,27.626,BluePickedUpBall,2,3,3,3,0.0
421,28.26,PurplePickedUpBall,2,4,3,3,0.0
422,28.632,BlueDash,2,4,3,3,0.0
423,28.908,PurpleThrewBall,2,3,3,3,0.0
424,29.013,HitBlue,2,3,2,3,0.0
425,29.906,BlueDash,2,3,2,3,0.0
426,30.107,BluePickedUpBall,3,3,2,3,0.0
427,30.411,BluePickedUpBall,4,3,2,3,0.0
428,37.192,PurplePickedUpBall,4,4,2,3,0.0
429,38.42,BlueThrewBall,3,4,2,3,0.0
430,39.505,BlueThrewBall,2,4,2,3,0.0
431,40.294,BlueThrewBall,1,4,2,3,0.0
432,40.363,HitPurple,1,4,2,2,0.0
433,41.171,BlueDash,1,4,2,2,0.0
434,43.102,BlueThrewBall,0,4,2,2,0.0
435,45.847,BluePickedUpBall,1,4,2,2,0.0
436,46.42,BluePickedUpBall,2,4,2,2,0.0
437,46.799,BlueThrewBall,1,4,2,2,0.0
438,48.266,PurpleThrewBall,1,3,2,2,0.0
439,48.645,BlueThrewBall,0,3,2,2,0.0
440,48.687,HitPurple,0,3,2,1,0.0
441,49.625,BlueDash,0,3,2,1,0.0
442,50.697,BlueDash,0,3,2,1,0.0
443,53.062,BluePickedUpBall,1,3,2,1,0.0
444,53.277,BlueDash,1,3,2,1,0.0
445,53.689,BluePickedUpBall,2,3,2,1,0.0
446,54.569,BlueDash,2,3,2,1,0.0
447,54.874,PurpleThrewBall,2,2,2,1,0.0
448,56.301,PurplePickedUpBall,2,3,2,1,0.0
449,56.581,PurpleThrewBall,2,2,2,1,0.0
450,56.583,HitBlue,2,2,1,1,0.0
451,56.741,BlueThrewBall,1,2,1,1,0.0
452,58.568,PurplePickedUpBall,1,3,1,1,0.0
453,58.691,BlueDash,1,3,1,1,0.0
454,59.261,BlueThrewBall,0,3,1,1,0.0
455,59.543,PurpleThrewBall,0,2,1,1,0.0
456,59.606,HitBlue,0,2,0,1,0.0
457,59.609,GameEnd,0,2,0,1,0.0
458,61.613,WinScreenStart,0,2,0,1,0.0
